Width,Depth,w_h,d50,H,L,U,D_d50,ws,KD,Lsat_D,Lsat_d50,Lsat_b_D,Th,Thc,DelTh,ust,P,Ret,Lsat_b,Lsat_s
2.44,0.19,12.8,0.00028,0.073,3.57,0.75,678.5714286,0.036942404,0.334399218,9.900386166,42.92266893,0.063254459,0.304196483,0.04559398,0.258602503,0.037111723,2.488593926,10.39128248,0.012018347,1.881073372
1.22,0.12,10.2,0.0004,0.064,2.134,0.57,300,0.056415609,0.353318761,4.926825409,27.27748532,0.090924951,0.152170542,0.03464567,0.117524872,0.031372585,4.495613762,12.54903387,0.010910994,0.591219049
2.44,0.31,2,0.00019,0.098,5.4,0.82,1631.578947,0.021523872,0.360701379,18.50825735,57.73190527,0.035384071,0.43608372,0.066036224,0.370047497,0.036603006,1.470089132,6.954571049,0.010969062,5.737559779
0.5,0.25,2,0.00029,0.072,4.35,0.8,862.0689655,0.038635429,0.361102604,10.11465811,43.23658506,0.050154439,0.31522997,0.044194897,0.271035073,0.038447469,2.512221826,11.14976611,0.01253861,2.528664528
2.44,0.12,20.3,0.00045,0.079,1.95,0.4,266.6666667,0.063899546,0.386657557,3.040982914,17.70776082,0.066404103,0.068824131,0.032620478,0.036203652,0.022378534,7.138486586,10.07034034,0.007968492,0.36491795
2.44,0.13,18.8,0.00045,0.079,1.92,0.45,288.8888889,0.063899546,0.425424005,3.428008295,19.7006771,0.068194652,0.085187475,0.032620478,0.052566997,0.024897122,6.416358809,11.20370471,0.008865305,0.445641078
1.22,0.12,10.2,0.0004,0.049,1.707,0.75,300,0.056415609,0.441700197,6.503994875,35.89142805,0.119638093,0.263453155,0.03464567,0.228807485,0.041279717,3.416666459,16.51188667,0.014356571,0.780479385
1.22,0.24,5.1,0.0004,0.061,3.261,1.02,600,0.056415609,0.462423942,8.879009303,44.56216353,0.074270273,0.40612008,0.03464567,0.37147441,0.051252168,2.751864557,20.50086702,0.017824865,2.130962233
1.22,0.25,4.9,0.0004,0.067,3.17,0.88,625,0.056415609,0.495519346,7.651256381,38.24964474,0.061199432,0.299210437,0.03464567,0.264564767,0.043991966,3.206017709,17.59678657,0.015299858,1.912814095
1.22,0.24,5.1,0.0004,0.082,2.804,0.81,600,0.056415609,0.537790469,7.036812599,35.38760045,0.058979334,0.256108597,0.03464567,0.221462927,0.040700251,3.465310923,16.28010028,0.01415504,1.688835024
2.44,0.2,12.2,0.00047,0.021,2.286,0.89,425.5319149,0.066785464,0.549710001,6.542644983,35.71798689,0.083937269,0.287421065,0.032069345,0.25535172,0.046737259,3.572388827,21.9665116,0.016787454,1.308528997
1.22,0.3,4.1,0.0004,0.088,3.414,0.76,750,0.056415609,0.552125247,6.600136695,32.29784433,0.043063792,0.213338384,0.03464567,0.178692714,0.037146637,3.796818052,14.85865495,0.012919138,1.980041009
2.44,0.31,2,0.00027,0.125,3.38,0.8,1148.148148,0.035240343,0.576268475,11.08227117,44.25652039,0.038546002,0.316416208,0.047119159,0.269297049,0.037167748,2.370357692,10.03529207,0.011949261,3.435504063
2.44,0.23,2.7,0.00028,0.107,2.5,0.65,821.4285714,0.036942404,0.578053048,8.563672875,36.3407463,0.044240909,0.218056198,0.04559398,0.172462218,0.031420873,2.939320296,8.797844356,0.010175409,1.969644761
2.44,0.23,10.6,0.00047,0.067,2.499,0.49,489.3617021,0.066785464,0.578284362,3.580872357,19.31063655,0.039460866,0.084011324,0.032069345,0.051941979,0.025268115,6.607681572,11.87601426,0.009075999,0.823600642
2.44,0.21,11.6,0.00019,0.094,2.26,0.54,1105.263158,0.021523872,0.583835803,12.06935472,39.74601868,0.035960684,0.206692804,0.066036224,0.140656581,0.025199649,2.13533454,4.787933285,0.007551744,2.534564491
2.44,0.33,7.4,0.00019,0.119,3.54,0.72,1736.842105,0.021523872,0.585720664,16.21116397,50.34020892,0.028983757,0.331564573,0.066036224,0.265528349,0.031916545,1.68594943,6.064143525,0.00956464,5.34968411
0.76,0.115,6.6,0.00054,0.043,1.23,0.46,212.962963,0.076421583,0.587452285,2.936753373,18.17171334,0.085328045,0.080856315,0.030986951,0.049869364,0.026571059,7.190302709,14.34837178,0.009812725,0.337726638
1.22,0.3,4.1,0.0004,0.085,3.2,0.76,750,0.056415609,0.589048623,6.600136695,32.29784433,0.043063792,0.213338384,0.03464567,0.178692714,0.037146637,3.796818052,14.85865495,0.012919138,1.980041009
2.44,0.15,16.3,0.00019,0.061,1.59,0.64,789.4736842,0.021523872,0.592753331,14.35747359,49.03108558,0.062106042,0.314543787,0.066036224,0.248507563,0.031086539,1.730964051,5.906442316,0.009315906,2.153621039
2.44,0.17,14.4,0.00093,0.052,1.8,0.75,182.7956989,0.119772555,0.593411946,3.079775851,19.61168651,0.107287461,0.13049852,0.034251084,0.096247437,0.044299546,6.759242792,41.19857798,0.018238868,0.523561895
2.44,0.17,14.4,0.00047,0.104,1.771,0.54,361.7021277,0.066785464,0.603129024,3.94940333,22.14405772,0.061221807,0.11047374,0.032069345,0.078404395,0.028975669,5.762202163,13.61856429,0.010407707,0.671398566
2.44,0.22,11.1,0.00047,0.119,2.243,0.61,468.0851064,0.066785464,0.616273191,4.469349461,24.17833018,0.051653705,0.131703482,0.032069345,0.099634137,0.03163753,5.277392455,14.86963899,0.011363815,0.983256881
0.76,0.104,7.3,0.00054,0.052,1.05,0.46,192.5925926,0.076421583,0.622334545,2.936224583,18.43943458,0.095743218,0.083256354,0.030986951,0.052269403,0.026962526,7.085907059,14.55976428,0.009957295,0.305367357
2.44,0.2,12.2,0.00045,0.125,2.01,0.78,444.4444444,0.063899546,0.625192568,5.984595821,32.22756875,0.07251203,0.227965186,0.032620478,0.195344707,0.040728229,3.922313037,18.32770326,0.014502406,1.196919164
0.76,0.12,6.3,0.00054,0.066,1.2,0.49,222.2222222,0.076421583,0.628318531,3.130929558,19.23858578,0.086573636,0.090629269,0.030986951,0.059642318,0.028131062,6.79156572,15.19077349,0.010388836,0.375711547
1.22,0.24,5.1,0.0004,0.052,2.377,1.1,600,0.056415609,0.63439818,9.580853242,48.05723518,0.080095392,0.472323431,0.03464567,0.43767776,0.055271945,2.551728953,22.10877816,0.019222894,2.299404778
0.3,0.16,1.9,0.00135,0.025,1.58,0.51,118.5185185,0.154504728,0.63627193,1.622046671,10.57449414,0.089222294,0.047446633,0.040353311,0.007093321,0.032182857,12.00209863,43.44685658,0.014275567,0.259527467
1.22,0.24,5.1,0.0004,0.076,2.347,0.67,600,0.056415609,0.642507232,5.80886672,29.27122506,0.048785375,0.175228089,0.03464567,0.140582419,0.033665639,4.189405743,13.46625579,0.01170849,1.394128013
2.44,0.19,12.8,0.00047,0.052,1.823,0.44,404.2553191,0.066785464,0.654857492,3.209718744,17.77804817,0.043977277,0.071205379,0.032069345,0.039136034,0.023262712,7.177308559,10.93347457,0.008355683,0.609846561
0.76,0.12,6.3,0.0011,0.029,1.15,0.46,109.0909091,0.134889349,0.655636728,1.672615622,11.38456752,0.104358536,0.048635638,0.036746054,0.011889584,0.029412278,11.46539454,32.35350575,0.012523024,0.200713875
2.44,0.17,14.4,0.00047,0.079,1.625,0.55,361.7021277,0.066785464,0.657317848,4.023436748,22.55413286,0.062355544,0.114603245,0.032069345,0.0825339,0.029512255,5.657434851,13.87075993,0.010600442,0.683984247
